Age,Region,Residence,Religion,Mothers_Education,Wealth_index,Birth_order,Wanted_pregnancy,Place_of_delivery,Husbands_education,Husbands_occupation,ANC_visit,Media_exposure
-0.019874247,-0.001932647,0.035818037,0.076808155,-0.12115128,-0.057955135,0.03799987,0.029302971,1.1263715,0.06880432,0.014786344,-0.028246338,-0.09547311
-0.022859829,0.15586288,0.04410937,-0.00949778,0.060145777,0.076133765,0.037074395,0.02053465,0.9943225,0.016025646,0.013859643,-0.06965459,0.0960695
-0.010885707,0.0826571,0.0338164,-0.005136285,-0.04089457,0.15357171,0.035450757,0.032273367,-2.0256925,0.19245759,0.012070546,-0.13135648,0.08084181
0.00704609,0.19867925,-0.001515274,-0.00175067,0.108268216,0.0515072,-0.01646564,0.015720688,1.0062606,0.11143174,0.033030536,-0.043771315,-0.06971034
-0.06709108,-0.057764266,-0.06459291,-0.003598236,-0.12201963,-0.080743104,-0.09015951,-0.09295852,-1.9498656,-0.18785065,0.009867256,-0.6075681,-0.10922831
-0.043486882,0.17792583,0.008447971,-0.007243333,0.028570222,0.10539077,-0.053902157,-0.20992361,0.8891848,-0.004698635,0.009750366,0.33798146,0.11741197
-0.04007909,-0.17956157,0.033084888,-0.000682766,0.16135871,0.13774864,0.037984725,0.027332857,-1.7201241,-0.13227196,0.006023901,0.7578037,0.028691078
-0.01674721,0.017492026,-0.008192675,-0.004578641,0.024665903,0.082025796,-0.011800116,0.042053763,-1.6491123,0.1637016,0.008345084,-0.55779576,0.074083075
-0.011450045,0.015008201,-0.105644405,-0.007288117,0.020988371,0.068495296,0.013402442,-0.000326734,0.7129675,0.020974297,0.007358652,0.3294736,0.002316855
-0.019184688,-0.012066428,0.0788602,-0.008264327,0.04983628,-0.083223626,0.020716593,0.022901006,1.051671,-0.21752393,0.022179246,0.032921657,0.05879634
-0.03233101,-0.058303848,-0.10788425,-0.007077144,-0.16964173,0.04688046,0.028888172,-2.84E-05,0.9418802,-0.06899229,0.021738922,-0.07596171,0.11216064
-0.039028537,-0.17483993,0.022921104,0.001412866,-0.06416471,0.0857595,0.013708335,0.028337602,0.98519367,0.07584566,0.017837001,-0.099549964,-0.0671951
0.069538794,-0.0220666,-0.008458509,-0.028571893,0.000939254,0.036322225,0.006051012,0.005116314,-1.9343123,0.10734719,0.009586305,-0.20864485,-0.050205804
-0.024783665,0.027863491,-0.051468264,-0.008153219,-0.19669452,-0.17565514,0.004729973,0.03364069,-2.3030543,-0.13049169,0.008875132,-0.1201669,0.062779725
0.05792523,-0.10439843,-0.018171158,0.010159775,0.09546565,0.00091439,0.012873783,0.046576917,1.0535066,0.06463593,0.017449548,-0.011317601,0.054722376
-0.022619184,0.065864086,-0.08088376,0.001577704,0.03724949,0.08589462,0.003136687,0.003716454,0.83814013,0.09596111,0.013659578,0.3714528,-0.04275197
-0.054388024,0.12613457,0.03858694,0.007033547,0.000538789,0.079284094,-0.036899343,-0.18185888,0.8120974,0.081837855,0.015670443,0.31278035,-0.05229949
-0.01912016,0.04355697,0.023442652,-0.007451419,0.039044514,0.09312499,0.006845442,0.03531488,1.0643823,0.04632872,0.013480757,0.002338081,-0.08319527
-0.011581302,-0.04514838,0.08684095,-0.002178362,0.046614796,0.09362689,0.03217079,0.031471692,0.72357094,0.07572419,0.009566656,0.43628445,-0.022372954
0.08402324,0.002379096,-0.03025967,0.011766513,-0.0575581,-0.083240435,0.004850635,-0.2376826,0.97627324,0.050160374,0.022832396,-0.003062723,-0.09295593
-0.0311058,-0.22775376,0.020750698,-0.01711559,-0.07522494,0.020042082,0.006293153,-0.005950746,0.8504731,-0.032145534,0.024982005,-0.097148806,-0.07844122
0.116792575,-0.16365395,0.022294708,-0.001743847,-0.002715899,0.17080422,0.05046713,0.009853042,-1.6387771,0.09291576,0.009284885,0.56194884,0.040350657
-0.023579914,-0.00067479,0.058642447,-0.00672301,-0.020731587,0.22685517,-0.07738031,-0.07351267,-1.6172676,0.07464225,0.008170443,-0.73042834,-0.089589916
0.027199436,-0.11648293,-0.010378128,-0.001936325,-0.021297554,0.016217047,0.017293738,0.012943406,-2.0257106,0.07024758,0.010075903,-0.11127884,0.05007247
0.22794183,-0.04137124,-0.040740877,-0.004206893,-0.056056138,-0.005736113,0.028623814,0.049770158,-1.949077,-0.054589882,0.009721024,-0.4714939,0.088684894
-0.028706191,-0.012507894,0.099684566,-0.007531875,-0.016071528,0.05423442,-0.076293625,0.017688747,-1.7116235,-0.053187244,0.007966845,-0.8091511,-0.10384428
-0.021625094,0.10065147,-0.016300634,-0.008396915,-0.006608272,0.14321025,-0.007137545,0.023203691,-1.6575181,0.06083062,0.007668632,0.6495076,-0.038858987
-0.012675626,-0.11044289,0.04121651,-0.000379286,0.04147454,0.030856688,0.019134257,0.03606331,0.93962955,0.06891305,0.016449224,0.36580735,-0.018843336
-0.007770895,0.0683573,0.015377169,-0.014708244,0.044172067,-0.26700082,-0.008392125,0.066409744,0.91092956,0.056229923,0.013402682,0.221518,-0.13429321
-0.008427953,-0.18870227,0.06267814,-0.009511974,-0.20762926,-0.12695023,-0.03679202,0.043248728,0.9249093,-0.29969284,0.015969528,0.03116397,0.07808805
0.14184335,0.002292575,-0.03579602,-0.007919963,-0.17409198,-0.11788805,-0.12420585,0.040839262,-2.201409,-0.08360067,0.011545157,-0.06986011,-0.032532472
-0.04239386,-0.10661551,-0.022926806,-0.003069589,0.02432171,0.07099992,0.003983637,0.020675838,-1.9997617,-0.12037145,0.009670233,-0.14979163,0.05475247
-0.018755732,0.17221145,-0.03638366,0.046159197,0.06348099,0.07079515,-0.032712825,0.022327168,0.83768207,0.09543831,0.013419838,0.37632686,-0.07445297
-0.038492005,-0.010215585,-0.019042106,-0.002726015,-0.09223305,-0.1717769,0.005935694,-0.12944621,-2.1669867,-0.15016945,0.009514109,-0.105427355,0.06911677
-0.04971696,-0.29221892,-0.024505494,-0.001899366,-0.12406174,0.1058321,-0.10321388,0.03024393,-2.1439028,-0.117058665,0.011171898,-0.16837962,-0.07040572
-0.024874058,0.021797795,-0.0230219,-0.008990915,0.056663446,-0.07949548,-0.018224899,0.039343115,-2.2712111,-0.11224519,0.007749521,-0.08536575,0.050147135
-0.003716067,0.17901531,0.012442262,-0.001771573,0.12006313,0.20063353,0.018397743,0.19924957,1.0570794,0.05278,0.03317601,-0.03824882,-0.013633731
-0.04918606,-0.12499322,-0.03513382,-0.003829106,-0.056299053,0.07387438,-0.014399182,-0.10465814,-1.9695847,-0.05714997,0.008605681,-0.69479954,0.082551666
0.065969996,0.0817139,-0.014112539,8.85E-05,0.11618407,-0.055107344,-0.0366683,-0.00136262,1.0275706,0.04744374,0.024923494,-0.061269842,-0.064380795
-0.012109411,0.20071785,0.041330803,-0.007973749,0.07664941,-0.020723369,0.0155374,0.016947933,1.0800518,0.000251068,0.024980702,-0.033724472,0.09676435
-0.02795081,-0.28094128,-0.08326566,0.010486462,-0.061046734,0.035146438,0.03354689,0.032941464,0.8614554,0.08154204,0.026137805,0.34273383,-0.07205172
-0.025929939,-0.2229164,0.03857487,-0.007113474,-0.089445375,-0.0610057,0.011101645,0.035885535,0.90106285,-0.04662721,0.016122608,-0.08480526,0.045791388
-0.029349087,0.011416314,0.006434701,-0.004536336,-0.12360512,-0.15797141,-0.028610889,0.000990446,-1.5285203,-0.17401119,-0.37069726,-0.10875831,0.09024608
-0.04023602,0.05993362,-0.022096869,-0.004061107,0.057986394,-0.058571916,-0.019630691,0.034835618,-2.2132187,-0.10323666,0.011392112,-0.107958674,-0.04049871
0.17549485,-0.18462482,-0.003443955,-0.001863741,-0.11965771,-0.16551605,-0.06430827,-0.173653,-2.2756171,0.053870365,0.010062194,-0.09111068,0.034079716
0.048414003,-0.1252375,0.001357221,-0.000483188,0.10114001,-0.018986057,0.056507614,0.040354613,1.0204831,-0.08345771,0.016430052,-0.03554092,0.024484206
-0.021072306,-0.062129267,0.0785209,-0.007281561,-0.10748461,0.1668653,0.002324936,0.019482264,1.0364028,-0.041512046,0.024482263,-0.08998195,-0.12414426
-0.005588664,0.15315431,0.042707622,-0.008551694,-0.040113863,0.21506895,0.0243745,0.028489862,-1.8581474,0.24977632,0.011329195,-0.13722451,0.06390273
-0.033660747,0.066450074,-0.041823737,-0.005350164,0.057435837,0.01876891,0.009051545,0.000756754,0.94693255,0.028718058,0.025425857,-0.06293176,-0.08105021
-0.007085616,-0.14038971,0.024196243,-0.005542547,0.06275819,-0.18220894,-0.003605801,0.051095683,1.0337191,0.109504715,0.014808893,-0.009046124,0.049268
-0.01768691,0.23933291,0.06727596,0.122178756,-0.11740849,-0.004965628,-0.004584205,0.042340916,1.0991474,0.031285122,0.027120179,-0.04722849,-0.051223565
-0.005516823,0.1809877,-0.030832365,-0.007859962,0.05760473,0.10827394,0.010584339,0.009250644,1.0059977,0.17653488,0.02207774,-0.042840954,0.1403357
-0.03948403,0.08653276,0.009717475,-0.003267795,-0.081766754,-0.10416486,0.01867775,-0.1199788,-1.9942682,0.20625025,0.013139687,-0.14746174,-0.032774583
0.01300812,-0.13272887,0.018460235,0.000814774,0.07556454,0.062198825,0.03171265,0.15939991,1.0286682,-0.010532388,0.024430368,-0.08739938,0.027208194
-0.036599338,-0.21666044,0.002137805,-0.008338729,0.020990629,0.002616856,0.062463764,0.048284926,-1.813064,0.012213007,0.008833795,-0.473147,0.06110402
-0.002619054,-0.044791054,0.016114235,-0.007777974,0.03838194,0.072342604,-0.00024118,0.027341682,0.9329867,0.027298542,0.018760948,0.34394118,-0.06335031
-0.04438161,-0.07705073,-0.02776349,-0.006123966,-0.000261053,-0.06650202,0.048480004,0.03910623,-2.104569,-0.060043007,0.007868264,-0.57529485,0.059604112
-0.013836987,0.012998696,-0.036761515,-0.004528744,0.1035732,0.009781698,-0.028840221,0.004117937,0.9776928,-0.030490743,0.029184008,-0.059531353,-0.03791385
-0.012895042,0.15649696,0.047602493,-0.003478113,0.055347905,0.121310525,-0.023099741,0.029503368,1.0365517,0.03190043,0.027053444,-0.062529504,-0.050576497
-0.041045044,0.1009289,-0.005246405,-0.003256831,0.040489987,0.25539172,0.020869695,-0.05111071,-1.8920381,-0.15599723,0.011097157,-0.0844025,0.10526448
-0.031767577,-0.090436876,0.004494499,-0.009478869,0.14184077,0.010414233,0.042815257,0.036968246,1.0853801,0.050829545,0.023340931,-0.04766031,-0.046276726
-0.006370152,0.11443033,0.010637885,-0.006536582,-0.029429562,0.095308885,0.005687727,0.027496466,-2.0872726,0.16297604,0.011250611,-0.13187514,0.07361942
-0.03165615,-0.14153127,0.002326818,-0.005035042,0.074827746,-0.1447256,0.002793969,-0.24439739,1.0343912,0.026292207,0.02106695,-0.03032939,-0.13504046
0.012848771,0.18613905,0.01180968,-0.00314454,-0.102104045,-0.08695277,-0.18898898,-0.16524424,-1.9541932,0.08963008,0.013496648,-0.058475133,0.009022741
-0.040360507,-0.25340316,-0.027782472,-0.002780407,-0.13333935,-0.17609438,-0.08419088,-0.18818039,-2.3407867,-0.120772764,0.008983181,-0.09764281,0.022363666
-0.02052682,-0.025467355,0.03757274,-0.005438626,-0.040165473,-0.089319386,0.034469295,0.05898604,0.81928796,0.15512699,0.0201101,0.28960815,0.03797757
-0.010545404,0.065521054,-0.039625406,-0.00933319,0.070271164,0.070987426,-0.000893336,-0.001254015,0.89310145,0.088807315,0.025302768,-0.0749612,-0.10682877
-0.04237704,-0.10362069,-0.012491049,-0.004260358,0.12790863,0.08233961,0.008942355,-0.0753356,-1.5262582,0.1832293,0.007732404,-0.21472815,-0.04839891
-0.010716395,0.25807485,0.06227052,-0.006569357,0.042183384,0.122788444,-0.003772443,0.020678435,0.9081093,0.051043227,0.015138228,-0.074293405,0.110715166
0.1960704,0.009028667,0.034794804,-0.004228491,-0.058218963,0.22615881,0.03364713,-0.12135202,-2.048209,-0.039019383,0.010869716,-0.09170286,0.07033259
-0.008993153,0.027487962,0.014802884,-0.00487382,-0.09795333,-0.21340103,0.019205645,0.055205718,-2.157502,0.22061959,0.009923292,-0.0959532,0.0722739
-0.007178784,0.14355229,0.0341447,-0.009488521,0.012837293,0.09683941,-0.008399274,0.029299926,0.85220265,0.077346586,0.013776165,0.41376835,-0.09629582
-0.05483191,0.17548265,0.004194238,0.003508811,-0.010655161,-0.0636606,-0.014065307,-0.2844369,0.9233349,0.052433763,0.016944671,-0.03922546,-0.059031077
-0.03163474,0.0836,0.049020603,0.005468141,0.039644226,0.08785104,0.042402506,-0.14589804,1.0464329,-0.16596465,0.021752564,-0.010840137,0.1062381
-0.00840462,0.15596403,0.019268852,-0.003199702,0.073179714,0.06948126,-0.003420124,0.040032208,0.9263966,0.013684064,0.018682554,0.30965778,-0.022215761
-0.035551988,-0.14885882,0.007725339,-0.012748892,-0.014935266,0.09621706,0.041603435,-0.069750674,0.7106812,-0.029259924,0.016403588,0.34575027,0.05275192
-0.011960983,0.14649965,0.038134687,-0.003791739,0.01858396,0.10232874,0.014053026,0.038740188,0.8469999,0.070307195,0.011597592,0.42062685,-0.079483934
-0.004757635,-0.13849746,0.054652307,-0.007646331,0.01080145,-0.25127622,0.040447876,0.040740672,0.90741146,-0.02373632,0.012141798,-0.06198275,0.030957727
-0.020873208,-0.16242698,-0.037541054,-0.012515497,0.042818453,-0.22382079,-0.029005514,0.013310185,0.93925834,0.035139427,0.015120028,-0.017760308,0.03898279
0.14182183,-0.059734672,-0.005862998,-0.00519955,-0.08828211,-0.144329,0.008330526,0.048106316,-2.1189935,-0.09405494,0.009761376,-0.4050587,0.07166275
-0.000797424,0.2102431,0.026524287,-0.003841353,0.056021728,0.05782907,0.024330348,0.024577074,1.0285784,0.10450989,0.029011495,-0.026436737,0.1057069
-0.010892531,0.20791174,0.050373547,-0.003355329,-0.025469255,-0.007451735,0.003704277,0.021566747,0.90730715,0.057872005,0.020937592,-0.085751586,-0.0634406
0.05523561,-0.0717434,0.017971903,-0.000689107,0.06151575,-0.15794384,0.047496326,0.0517164,0.7879164,0.00542055,0.014118545,0.26166388,0.013135747
0.049411163,0.07936362,0.017063148,-0.003442468,-0.04396545,0.1590896,0.040659346,0.011163798,-1.8229394,0.14460282,0.010301292,-0.18773702,-0.08178338
0.00779793,-0.031980906,-0.027063137,-0.004659057,0.0880951,0.079746194,0.060147885,-0.00402039,0.9356001,0.06566219,0.019856347,-0.075270265,-0.07735831
-0.002887192,0.17153914,-0.08064322,-0.013185762,0.09468208,0.053077433,0.02030066,0.008591011,0.8958193,-0.015292216,0.020108597,-0.0677617,0.104319155
0.23789628,-0.16062538,0.015190224,0.000133129,-0.018390637,0.14994934,-0.012632947,0.04126689,-1.8110859,-0.019731829,0.009284635,-0.5675316,0.10004311
-0.020732474,-0.035782553,-0.014201712,-0.005237736,0.024049504,-0.08107966,0.017417641,0.04480016,-2.1451907,0.09346846,0.011006273,-0.044219594,-0.043151367
0.20114525,-0.089896254,0.01172542,0.004965029,-0.107521355,0.018940505,-0.02726196,-0.19685487,1.0237182,0.009249277,0.018142415,0.022022935,0.12474863
-0.015020301,0.11371023,0.046453945,-0.002427851,0.08481485,-0.018353162,0.045485243,0.028180324,1.019122,0.06127078,0.020338204,-0.07827695,-0.043534502
-0.032823615,-0.07590689,0.05909721,0.001085183,-0.00229319,-0.10385332,-0.010320441,0.04945668,0.8336553,0.03800759,0.013421962,0.32788193,0.000925113
-0.031837817,0.007652322,0.04509371,0.00629131,0.00680739,0.009576898,0.07670669,0.012192762,0.81736904,0.0786371,-0.6545064,-0.13943724,-0.07247254
0.012119427,0.10478971,-0.008195263,-0.005036326,-0.008693749,0.09077251,0.005458778,0.01427458,-1.975929,0.13249016,0.008319794,-0.1818142,-0.08939521
-0.027104765,0.011630094,-0.04872249,-0.008304092,-0.14160906,0.114103794,-0.020677634,0.026136708,-1.8289772,-0.04525546,0.013753323,-0.11604055,0.03369059
-0.023798158,0.21532446,0.039620444,-0.0028153,-0.011883736,-0.052070323,0.002629316,0.020144772,0.9749069,0.020445576,0.020548642,-0.07279704,-0.07235644
-0.01107644,0.025014823,0.016880773,-0.00282312,0.06269106,-0.008214735,0.012958029,0.05014395,1.0585486,0.084328614,0.02176864,-0.01044435,-0.046857014
-0.002988588,0.22625941,0.045990475,-0.011058706,0.06739278,-0.13648607,-0.01162662,0.045227148,1.0149959,-0.06333921,0.025993574,-0.013437775,0.047501046
-0.012488266,0.088974096,0.013303638,-0.003925328,0.06129181,0.027618561,0.014678592,0.020287693,1.0103627,0.07506153,0.015048953,-0.08393513,-0.11822591
-0.032282438,-0.3805513,-0.02497179,-0.013712491,-0.07789512,0.012720283,0.00244284,0.002888735,0.8622257,-0.07036203,0.025428377,-0.08158009,-0.10051445
-0.06928198,-0.14766076,-0.001718579,-0.002234226,-0.048215244,-0.051984444,0.009339757,0.037051257,-1.9940501,-0.22384779,0.008519752,-0.56174743,0.1124658
0.09768334,-0.065489985,-0.054350343,0.01523331,0.07422991,-0.05738417,0.004131663,-0.22512421,1.0092639,0.016854845,0.015046129,-0.005067184,0.07414582
-0.02967699,0.01763098,0.003310977,-0.005597228,-0.06741072,0.22459413,0.022864524,-0.071074486,-2.1263316,-0.1572708,0.010459795,-0.10133178,0.06781408
-0.011700428,-0.049861964,0.003098907,-0.01647496,0.04623195,0.15188085,-0.028490823,-0.068474084,0.7774353,-0.025063233,0.008987499,0.2953564,0.041029893
-0.023049813,-0.11007705,0.027834328,0.06363573,0.092775844,0.008291245,-0.007332885,0.006974889,0.9575145,-0.006459927,0.026968354,-0.08607371,-0.08081803
